run_id,task,input_id,depth,condition,paraphrase_idx,position,position_idx,divergence,out_len,base_len,len_ratio,schema_violation,judge_score,base_judge_score,agent_model,backend,embedder
summarization|sum_1|d4|p2|middle,summarization,sum_1,4,perturbed,2,middle,2,0.026600956916809,591,572,1.0332167832167831,,6,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d4|p1|last,summarization,sum_1,4,perturbed,1,last,3,0.016911506652832,574,572,1.0034965034965035,,9,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d4|p0|first,summarization,sum_2,4,perturbed,0,first,0,0.015200138092041,588,641,0.9173166926677068,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d4|p1|first,summarization,sum_2,4,perturbed,1,first,0,0.1359736323356628,546,641,0.8517940717628705,,6,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d4|p2|first,summarization,sum_2,4,perturbed,2,first,0,0.1100531816482544,659,641,1.0280811232449298,,7,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d4|p0|middle,summarization,sum_2,4,perturbed,0,middle,2,0.0092514753341674,624,641,0.9734789391575664,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d4|p1|middle,summarization,sum_2,4,perturbed,1,middle,2,0.0040664672851562,570,641,0.8892355694227769,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d4|p2|middle,summarization,sum_2,4,perturbed,2,middle,2,0.0043073892593383,588,641,0.9173166926677068,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d4|p0|last,summarization,sum_2,4,perturbed,0,last,3,5.960464477539064e-08,641,641,1.0,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d4|p1|last,summarization,sum_2,4,perturbed,1,last,3,0.0113325119018554,555,641,0.8658346333853354,,8,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d4|p2|last,summarization,sum_2,4,perturbed,2,last,3,0.0190846323966979,640,641,0.998439937597504,,8,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d4|p0|first,summarization,sum_3,4,perturbed,0,first,0,0.1794288158416748,507,712,0.7120786516853933,,7,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d4|p1|first,summarization,sum_3,4,perturbed,1,first,0,0.1179690957069397,487,712,0.6839887640449438,,8,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d4|p2|first,summarization,sum_3,4,perturbed,2,first,0,0.1233795285224914,535,712,0.7514044943820225,,8,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d4|p0|middle,summarization,sum_3,4,perturbed,0,middle,2,0.02657151222229,685,712,0.9620786516853932,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d4|p1|middle,summarization,sum_3,4,perturbed,1,middle,2,0.0178933143615722,717,712,1.0070224719101124,,8,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d4|p2|middle,summarization,sum_3,4,perturbed,2,middle,2,0.0589736700057983,784,712,1.101123595505618,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d4|p0|last,summarization,sum_3,4,perturbed,0,last,3,0.0633405447006225,752,712,1.0561797752808988,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d4|p2|last,summarization,sum_3,4,perturbed,2,last,3,1.1920928955078125e-07,712,712,1.0,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d4|p0|first,summarization,sum_4,4,perturbed,0,first,0,0.0495315194129943,592,671,0.8822652757078987,,9,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d4|p1|last,summarization,sum_3,4,perturbed,1,last,3,0.0015758275985717,715,712,1.0042134831460674,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d4|p1|first,summarization,sum_4,4,perturbed,1,first,0,0.0465167164802551,589,671,0.8777943368107303,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d4|p2|first,summarization,sum_4,4,perturbed,2,first,0,0.0288261175155639,560,671,0.834575260804769,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d4|p0|middle,summarization,sum_4,4,perturbed,0,middle,2,0.0088675618171691,671,671,1.0,,9,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d4|p1|middle,summarization,sum_4,4,perturbed,1,middle,2,0.0303724408149719,698,671,1.0402384500745157,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d4|p2|middle,summarization,sum_4,4,perturbed,2,middle,2,1.0097734928131104,326,671,0.4858420268256334,,0,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d4|p0|last,summarization,sum_4,4,perturbed,0,last,3,0.0047628879547119,674,671,1.0044709388971684,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d4|p1|last,summarization,sum_4,4,perturbed,1,last,3,0.0092090964317321,674,671,1.0044709388971684,,9,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d4|p2|last,summarization,sum_4,4,perturbed,2,last,3,0.0084161758422851,692,671,1.0312965722801788,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
